,timestep,depth,Salinity,Theta
528,528,-79.9259,36.215176,24.37046
529,529,-80.07633,36.215527,24.369383
530,530,-80.22676,36.215874,24.368303
531,531,-80.37719,36.216225,24.367224
532,532,-80.52762,36.21657,24.366146
533,533,-80.67804,36.216923,24.365067
534,534,-80.82847,36.21727,24.363989
535,535,-80.9789,36.21762,24.36291
536,536,-81.129326,36.217968,24.361832
537,537,-81.279755,36.218315,24.360752
538,538,-81.43018,36.218666,24.359674
539,539,-81.58061,36.219013,24.358595
540,540,-81.73104,36.219364,24.357517
541,541,-81.88146,36.21971,24.356438
542,542,-82.03189,36.220062,24.35536
543,543,-82.18232,36.22041,24.35428
544,544,-82.33275,36.22076,24.353203
545,545,-82.48318,36.221107,24.352123
546,546,-82.633606,36.22146,24.351046
547,547,-82.784035,36.221806,24.349966
548,548,-82.93446,36.222157,24.348888
549,549,-83.08489,36.222504,24.347809
550,550,-83.23531,36.222855,24.346731
551,551,-83.38574,36.2232,24.345652
552,552,-83.53617,36.22355,24.344572
553,553,-83.6866,36.2239,24.343494
554,554,-83.83703,36.224247,24.342415
555,555,-83.98746,36.224598,24.341337
556,556,-84.137886,36.224945,24.340258
557,557,-84.288315,36.225296,24.33918
558,558,-84.438736,36.225643,24.3381
559,559,-84.589165,36.225994,24.337023
560,560,-84.73959,36.22634,24.335943
561,561,-84.89002,36.226692,24.334866
562,562,-85.04045,36.22704,24.333786
563,563,-85.19088,36.22739,24.332708
564,564,-85.34131,36.227737,24.331629
565,565,-85.49174,36.228085,24.330551
566,566,-85.64216,36.228436,24.329472
567,567,-85.79259,36.228783,24.328394
568,568,-85.943016,36.229134,24.327314
569,569,-86.093445,36.22948,24.326237
570,570,-86.24387,36.22983,24.325157
571,571,-86.3943,36.23018,24.324078
572,572,-86.54473,36.23053,24.323
573,573,-86.69516,36.230877,24.32192
574,574,-86.84558,36.231228,24.320843
575,575,-86.99601,36.231575,24.319763
576,576,-87.14644,36.231926,24.318686
577,577,-87.29687,36.232273,24.317606
578,578,-87.447296,36.232624,24.316528
579,579,-87.597725,36.23297,24.315449
580,580,-87.74815,36.23332,24.314371
581,581,-87.89858,36.23367,24.313292
582,582,-88.04901,36.234016,24.312214
583,583,-88.19943,36.234364,24.311264
584,584,-88.34986,36.234703,24.31098
585,585,-88.50029,36.235043,24.310694
586,586,-88.65072,36.235382,24.31041
587,587,-88.80115,36.23572,24.310125
588,588,-88.95158,36.236057,24.309841
589,589,-89.102005,36.236397,24.309557
590,590,-89.25243,36.236736,24.309273
591,591,-89.402855,36.237076,24.308987
592,592,-89.55328,36.237415,24.308702
593,593,-89.70371,36.23775,24.308418
594,594,-89.85414,36.23809,24.308134
595,595,-90.00457,36.23843,24.30785
596,596,-90.155,36.23877,24.307564
597,597,-90.30543,36.23911,24.30728
