timestep,depth,Salinity
795,-90.706505,36.24001
796,-90.81998,36.240265
797,-90.93344,36.24052
798,-91.04691,36.240776
799,-91.16038,36.24103
800,-91.27384,36.241287
801,-91.387314,36.241543
802,-91.50078,36.2418
803,-91.61425,36.242054
804,-91.727715,36.24231
805,-91.84118,36.242565
806,-91.95465,36.24282
807,-92.068115,36.243076
808,-92.18158,36.243332
809,-92.29505,36.243587
810,-92.408516,36.243843
811,-92.52199,36.2441
812,-92.63545,36.244354
813,-92.74892,36.24461
814,-92.86239,36.244865
815,-92.97585,36.24512
816,-93.089325,36.245377
817,-93.20279,36.245632
818,-93.31625,36.245888
819,-93.429726,36.246143
820,-93.54319,36.2464
821,-93.656654,36.246655
822,-93.77013,36.24691
823,-93.88359,36.247166
824,-93.99706,36.24742
825,-94.11053,36.247677
826,-94.22399,36.247932
827,-94.33746,36.248188
828,-94.45093,36.248444
829,-94.5644,36.2487
830,-94.677864,36.248955
831,-94.79133,36.24921
832,-94.9048,36.249466
833,-95.018265,36.24972
834,-95.13174,36.249977
835,-95.2452,36.250233
836,-95.358665,36.25049
837,-95.47214,36.250744
838,-95.5856,36.251
839,-95.699066,36.251255
840,-95.81254,36.25151
841,-95.926,36.251766
842,-96.039474,36.25202
843,-96.15294,36.252277
844,-96.2664,36.252533
845,-96.379875,36.25279
846,-96.49334,36.253044
847,-96.60681,36.2533
848,-96.720276,36.253555
849,-96.83374,36.25381
850,-96.94721,36.254066
851,-97.06068,36.254322
852,-97.17414,36.254578
853,-97.28761,36.254833
854,-97.40108,36.25509
855,-97.51455,36.255344
856,-97.62801,36.2556
857,-97.74148,36.255856
858,-97.85495,36.25611
859,-97.968414,36.256367
860,-98.08189,36.256622
861,-98.19535,36.256878
862,-98.308815,36.257133
863,-98.42229,36.25739
864,-98.53575,36.25764
865,-98.64922,36.257896
866,-98.76269,36.258152
867,-98.87615,36.258408
868,-98.989624,36.258663
869,-99.10309,36.25892
870,-99.21655,36.259174
